acc_x,acc_y,acc_z,eda,bvp,hr,temp,pain_level
-0.2302,0.1587,-0.1449,0.31,65.0,72.6,33.45,2
-0.003,0.0469,0.0883,0.153,72.7,77.8,33.75,1
1.4044,0.3268,0.2404,0.901,75.7,90.5,33.88,5
-0.7134,0.3068,-0.0477,1.385,75.2,94.2,33.78,7
-1.3936,0.0216,1.526,1.218,82.0,93.1,34.1,6
-0.6711,-0.036,0.0551,1.699,65.9,81.0,33.72,6
0.0996,-0.0928,-0.0971,1.956,70.7,69.1,33.34,6
0.1194,-0.5504,-3.0386,1.456,80.7,111.7,33.87,7
-0.0725,0.0524,-0.0829,1.809,64.3,58.5,34.23,5
-0.2086,0.1798,0.338,1.684,71.4,79.2,32.95,5
-0.1626,0.7963,0.3264,0.942,78.9,84.9,34.04,4
0.0631,-0.6565,0.113,0.54,86.1,75.9,33.57,2
-0.6393,-0.8832,0.3432,1.465,75.9,93.1,33.47,6
0.0438,0.002,-0.0359,1.594,84.0,43.1,34.24,2
-0.0118,0.0387,0.0651,0.084,62.3,55.3,33.81,1
-0.0213,0.4479,0.1029,1.164,77.9,75.1,33.61,4
0.0223,0.0843,-0.0406,1.169,63.6,46.3,34.33,1
0.5035,-0.449,0.1828,1.87,72.6,70.6,33.6,6
0.3693,-0.5976,-0.3982,1.075,66.3,79.8,33.64,4
0.067,-0.0039,0.0333,0.052,69.4,58.4,33.83,1
0.4692,-1.5585,0.92,1.729,77.5,90.2,33.77,7
0.0508,-0.0294,0.0616,1.328,63.0,51.1,33.25,2
-0.0856,-0.0688,0.0266,0.266,65.4,49.8,34.05,1
-0.0458,0.0211,-0.0043,1.064,63.1,49.9,33.95,1
-0.0108,0.0185,0.0263,1.252,74.3,58.3,34.07,3
0.0684,0.0176,0.0898,1.131,72.3,62.2,33.47,2
-0.7736,-0.3341,-0.0817,1.295,71.7,77.6,33.27,4
0.4993,0.7218,0.249,0.705,65.6,79.8,33.62,3
0.0381,0.0673,-0.0465,1.188,72.6,45.9,33.86,1
-0.025,-0.0786,0.039,0.675,66.8,57.3,33.74,1
-2.5105,-0.2403,-0.1503,2.839,89.3,126.7,33.61,8
-0.0862,-0.0212,0.0778,0.928,63.9,43.0,34.05,1
-0.0199,0.0324,-0.0018,0.924,69.3,54.6,33.63,1
0.0845,0.0605,0.0476,0.982,70.6,56.8,33.83,1
0.0161,0.034,-0.0483,0.206,73.5,59.0,33.88,1
-0.0364,-0.0687,-0.0755,0.474,75.9,55.4,33.93,1
-0.0188,-0.0417,-0.0216,1.145,74.6,54.8,34.05,2
-0.0067,0.1073,-0.0199,0.26,68.5,51.2,34.39,1
-0.0267,-0.029,0.1169,1.163,73.6,82.8,34.31,5
0.5792,0.9347,-1.0656,0.466,78.3,100.6,33.54,4
0.32,-0.1939,0.1701,1.264,78.1,77.1,33.57,5
0.0088,0.0254,-0.0697,1.727,72.8,51.6,33.46,3
-0.0101,0.004,0.0967,0.048,65.0,51.7,33.7,1
0.2343,-0.1887,-0.8433,0.488,69.0,90.8,33.58,3
0.0339,-0.0369,0.0579,0.699,66.8,54.3,33.63,1
-0.0539,-0.2488,0.1768,1.53,75.1,76.1,33.7,5
0.3029,0.0607,-0.4393,1.532,71.0,73.4,33.66,5
0.0358,-0.0607,-0.0308,1.109,64.5,52.9,33.88,1
0.0219,0.0029,0.0347,0.825,73.3,52.1,34.53,1
0.0412,-0.028,-0.1203,0.978,69.4,48.0,34.16,1
0.1986,0.0862,-0.2692,1.231,67.0,71.4,33.94,4
0.0314,0.0535,0.0535,1.15,64.4,51.0,34.26,2
-0.1965,0.4886,0.075,1.468,70.3,68.7,33.64,5
0.0142,-0.0042,0.0442,1.903,66.0,60.9,33.71,5
0.1426,-1.2678,-1.3698,1.77,83.4,92.5,33.72,7
-0.1164,-0.3262,0.36,0.726,77.3,77.2,34.04,3
-0.0498,-0.0395,-0.0641,1.393,81.5,52.1,34.3,3
0.3221,0.0095,-0.0699,0.392,64.2,78.9,33.53,2
-0.0005,0.0301,0.0764,1.454,76.3,54.9,34.54,3
-0.624,-0.1759,1.2965,2.023,79.6,100.2,34.06,8
0.0011,-2.5528,1.7632,1.918,78.2,120.1,33.39,8
1.02,1.1495,1.6066,0.974,80.9,108.2,33.56,6
-0.0606,0.0828,-0.3727,0.987,65.5,78.2,33.87,4
0.8428,0.2725,0.4873,2.593,75.8,89.8,33.7,8
-0.1509,0.2665,-0.3378,1.847,73.0,74.4,33.33,6
0.0463,0.3796,0.0443,0.123,72.3,71.9,33.73,1
0.0247,0.04,0.2965,1.517,79.5,68.6,33.75,4
-0.0048,-0.0649,0.042,0.06,70.7,54.6,33.77,1
-0.2945,-0.1231,-0.4898,1.757,70.9,92.3,33.7,7
0.1703,-0.0097,0.3381,0.79,62.6,74.1,33.47,3
-0.0486,-0.0494,0.069,1.217,57.2,55.5,33.74,2
0.0044,0.0139,-0.0582,1.223,65.3,50.5,33.54,2
0.1825,0.4137,-0.3139,1.897,73.3,78.0,33.37,6
1.7744,-1.5944,-0.1069,2.254,70.3,120.4,33.72,8
-0.0737,-0.076,-0.1162,1.58,72.4,71.2,33.91,5
-0.679,-0.6063,1.2703,2.07,84.9,118.4,34.0,8
-0.0255,0.0225,-0.0136,0.445,75.2,51.6,33.98,1
-0.0312,-0.0268,0.0551,0.028,64.3,50.0,34.19,1
-0.0692,-0.0283,-0.0385,0.442,76.0,51.8,33.97,1
0.0349,-0.0145,-0.0324,0.924,67.2,58.6,34.22,2
-0.3353,-0.0948,0.2051,1.393,73.4,65.0,33.27,4
-0.0245,0.0109,-0.0832,1.359,62.0,55.7,34.23,2
-0.16,0.1178,0.3458,1.774,77.2,96.8,33.56,7
-0.2284,0.1623,0.2384,1.834,66.1,82.6,33.85,6
-0.2656,0.1275,0.0583,0.783,78.7,74.9,33.27,3
-0.0344,-0.0715,0.4518,2.216,75.3,76.2,33.58,7
-0.7774,0.1937,-0.2712,2.65,72.0,99.1,33.92,8
-0.1538,-1.2978,1.8548,2.641,84.5,124.3,33.34,8
-0.0226,-0.7518,0.8875,1.978,70.9,86.9,33.99,7
0.0411,0.0383,-0.0515,1.083,78.3,53.1,34.44,2
-0.0717,-0.0108,-0.0503,2.119,69.7,57.0,34.55,6
0.6579,-0.2381,1.0679,1.885,75.9,102.1,33.53,7
-0.0955,-0.1155,-0.0222,0.9,66.6,46.2,33.94,1
-0.0548,-0.051,0.0425,0.421,73.7,58.3,34.31,1
0.134,-0.1679,0.2115,0.696,66.0,71.1,33.5,2
-0.1901,0.0735,-0.4643,1.379,68.0,76.9,33.42,5
-0.5642,1.3286,-2.2804,2.752,83.1,120.4,33.31,8
0.076,-0.0338,0.053,0.884,71.5,58.2,34.31,2
0.3028,-0.3439,0.1281,1.039,77.7,69.6,33.29,3
-0.0462,0.2189,-0.4035,0.735,67.1,74.6,33.15,2
-0.3351,0.4451,0.1895,0.719,69.0,75.7,33.14,2
0.423,0.3995,-0.0333,0.9,68.8,75.4,33.22,3
-0.3722,0.0709,-0.4605,0.798,79.8,79.1,33.72,3
0.0366,0.1997,-0.0559,0.737,72.7,72.0,33.56,2
0.1015,0.0645,-0.019,1.165,60.7,62.9,34.72,4
0.0049,0.0262,-0.0071,0.403,69.4,52.7,33.76,1
-0.4512,0.352,-0.2949,1.555,74.3,72.1,33.17,5
0.4283,-0.4386,0.3467,0.143,71.4,71.0,34.12,1
0.002,0.07,0.0433,0.647,72.6,60.2,33.75,1
-0.6575,0.597,0.8829,1.83,79.4,94.1,33.47,7
0.0448,0.0587,-0.0176,2.427,70.8,53.1,34.55,6
-1.5825,0.2594,0.0292,1.414,71.9,103.6,34.15,7
0.4495,0.0824,0.7855,2.155,88.1,87.1,34.35,7
-1.1036,-0.5982,-0.3015,1.379,73.3,90.1,33.23,5
0.3443,-0.5479,0.2858,0.885,66.5,78.5,34.09,3
0.2487,-0.0037,0.4241,1.307,71.3,78.3,33.67,5
0.0748,-0.0909,-0.1923,1.081,85.3,71.9,33.32,4
-0.0136,0.0717,0.1048,2.243,66.0,54.7,34.06,6
0.7289,0.054,0.7219,1.496,86.1,103.3,33.88,7
0.0254,0.0944,0.0005,0.725,72.0,59.2,33.54,1
-0.0546,0.0649,0.0884,0.187,69.2,53.4,34.07,1
-0.0258,0.1201,0.1117,0.547,78.3,80.6,33.85,3
0.8565,0.1234,-0.4958,2.538,84.6,118.8,33.86,8
-0.1256,0.4151,0.3675,0.718,71.3,69.5,34.34,2
-0.0793,0.0826,-0.1073,1.347,67.7,76.1,33.39,5
-0.1448,0.475,0.1916,1.087,76.9,80.7,34.02,5
0.1057,0.065,-0.0016,0.568,68.5,55.1,34.47,1
-0.0421,-0.0802,0.0368,0.431,72.4,58.9,34.06,1
-0.0234,0.3498,0.4874,0.517,67.5,70.2,33.2,1
-0.0262,-0.0009,0.0008,0.974,75.8,56.7,33.67,2
-0.5639,-0.1241,0.7321,1.681,82.4,92.0,33.69,7
0.079,-0.0917,-0.0595,0.377,76.0,54.3,34.41,1
0.0939,0.394,-0.199,1.311,72.1,75.9,33.63,4
0.0518,-0.0285,0.0719,1.726,75.2,58.6,33.85,4
-0.4197,-0.0177,0.4485,1.25,83.5,69.7,33.91,4
-0.0475,0.0365,-0.0025,0.282,73.5,57.7,33.81,1
-0.2703,-0.143,-0.0632,1.131,69.0,80.1,34.02,5
-0.074,-0.0843,-0.0094,0.11,69.8,54.3,34.2,1
0.96,0.3101,-1.0755,0.98,78.5,98.3,34.18,6
1.4524,-0.9055,0.1752,1.477,74.6,90.4,33.32,5
0.0547,0.0948,0.1258,0.0,63.1,54.0,34.47,1
-0.1306,0.0388,-0.032,1.728,60.5,51.2,33.72,4
-0.0248,-0.0581,-0.0169,1.862,58.3,55.5,34.07,5
0.0773,0.0122,-0.0684,0.353,55.5,47.9,33.76,1
-0.9698,0.8649,0.895,1.738,68.6,84.3,34.17,6
0.4656,-0.0099,0.0468,1.965,72.3,77.3,33.2,6
-1.2272,-2.1217,0.4725,2.13,82.6,112.2,33.74,8
-0.0956,0.061,0.0565,2.292,66.8,50.3,33.96,5
0.0086,-0.063,0.1087,1.703,65.9,47.2,33.58,2
-0.9852,-0.1349,0.0326,1.624,74.8,102.6,33.48,7
-0.5212,0.593,-0.5932,1.427,84.3,100.3,33.71,7
0.312,-0.4634,0.201,1.22,81.9,73.6,33.92,4
0.3121,-0.0583,0.1211,1.431,73.3,75.6,34.13,5
-0.1595,-0.1526,0.0522,1.276,74.7,77.4,33.83,5
0.0545,-0.0014,-0.0269,1.642,68.1,48.8,33.27,2
0.4501,-0.212,-0.6451,0.951,69.6,84.0,33.73,4
0.0125,-0.0526,-0.0265,0.326,71.0,60.3,33.88,1
-0.0264,-0.0585,0.0917,0.347,63.5,46.1,34.01,1
0.1075,-0.0024,0.0068,0.988,67.2,50.4,34.12,1
-0.0008,-0.0751,0.0298,0.207,67.9,59.7,34.25,1
-0.4687,0.071,0.0366,0.458,70.4,69.5,33.96,1
0.0157,-0.0769,0.0312,1.02,70.2,59.7,33.75,2
0.1864,0.1203,0.0018,1.533,78.5,75.9,34.5,6
0.0136,-0.2115,-0.3802,0.952,80.8,77.8,34.01,4
-0.4413,0.1116,-0.0665,0.553,76.8,77.2,33.33,2
-0.2189,-0.3574,0.1873,1.496,80.1,76.0,32.81,5
2.0702,2.1466,-1.4934,1.832,89.4,112.1,33.44,7
0.1379,-0.2803,-0.0369,0.397,74.2,74.0,33.69,2
-0.1567,-0.0583,-0.0403,0.543,69.7,51.5,33.99,1
0.0227,0.0481,0.0069,1.207,67.7,52.7,33.91,2
0.0459,0.0471,-0.0214,0.07,70.0,54.2,34.21,1
-0.0399,-0.0247,-0.0402,0.319,71.1,57.0,33.94,1
-1.115,-2.3851,0.6025,1.811,80.2,115.3,33.59,8
-2.7378,0.9701,-1.5901,3.142,84.0,102.8,33.79,8
-0.0227,-0.0282,0.006,1.176,74.8,54.2,33.47,2
-0.0749,0.0124,0.0533,1.597,72.5,58.2,33.24,4
1.4076,-0.5981,0.4864,0.987,80.9,92.8,33.99,5
0.2047,-0.0462,0.1071,1.269,67.1,81.2,33.82,5
-0.2148,-0.2712,0.1605,1.256,77.9,87.3,34.09,6
0.0709,-1.6234,1.2741,1.798,76.6,96.1,33.86,7
0.0298,-0.0138,-0.1177,0.794,80.4,58.6,34.06,2
0.1747,-0.2297,-0.3388,1.605,79.0,70.2,33.49,5
-1.6181,1.5326,-2.0861,3.432,84.1,108.7,33.72,8
0.1152,0.3945,-0.2552,2.091,72.8,73.1,33.88,6
0.3178,-0.1471,-0.0952,0.328,72.8,75.1,33.53,1
1.2014,-0.7147,0.7897,1.85,77.5,92.3,33.63,7
-0.004,0.0687,0.0404,1.108,73.0,52.8,34.5,1
-0.0209,0.0813,-0.0358,0.815,77.3,54.2,33.34,1
1.9898,0.9111,0.4592,2.418,82.9,104.9,33.62,8
0.0702,0.0016,0.0911,1.403,76.9,58.9,34.32,4
-1.1175,-0.7986,0.2882,1.802,76.1,93.5,33.4,7
0.057,-0.0004,-0.0005,0.917,72.4,50.6,33.46,1
-1.0119,1.0882,-0.2088,0.998,78.6,87.3,33.76,5
-0.0865,0.0291,-0.0493,0.254,70.9,63.2,33.91,1
-0.0519,0.035,0.0446,0.562,69.1,54.6,34.38,1
-0.1502,-0.2728,0.3534,1.268,68.6,74.1,33.65,5
-0.1514,-0.4575,-0.314,0.288,68.3,73.8,33.59,1
0.0178,-0.0225,-0.0307,0.403,64.0,55.3,33.64,1
0.2516,-0.1513,0.1368,0.353,68.4,72.6,33.8,1
-0.0635,0.0301,-0.0087,0.649,67.7,48.2,33.75,1
0.0575,0.0597,0.0547,1.11,61.7,57.9,34.3,2
0.1062,-0.3955,0.0373,0.415,65.0,81.2,33.93,3
-0.2468,-0.0261,-0.5988,0.188,80.8,73.7,33.39,1
-0.084,-0.0307,-0.0086,0.114,66.4,53.1,34.35,1
-0.3925,0.3838,-1.5752,3.125,85.4,112.7,33.8,8
-0.1487,-0.413,-0.1493,0.079,70.1,81.9,33.51,1
-0.1345,-0.0168,0.0483,0.121,68.5,45.5,33.44,1
-0.1169,-0.0697,0.3451,1.598,75.5,76.7,33.79,6
-0.0372,-0.1571,0.0207,1.363,69.1,77.4,33.63,5
2.421,-0.1188,2.5751,2.148,78.0,115.1,33.75,8
-0.8862,-0.4648,-1.4523,2.145,72.5,86.3,33.45,7
-0.3133,0.4988,0.3057,1.377,71.2,70.6,33.52,4
0.0563,-0.0061,-0.0245,1.265,67.3,54.1,33.77,2
0.167,-0.3786,-0.5054,2.14,64.0,74.1,34.62,7
